Ex-Dividend Date,Type,Amount,Declaration Date,Record Date,Payment Date,Currency
12/15/2025,Cash,$0.512703,10/21/2025,12/15/2025,12/30/2025,USD
09/15/2025,Cash,$0.537128,07/22/2025,09/15/2025,09/30/2025,USD
06/13/2025,Cash,$0.390625,05/20/2025,06/13/2025,06/30/2025,USD
03/14/2025,Cash,$0.390625,02/19/2025,03/14/2025,03/31/2025,USD
12/13/2024,Cash,$0.390625,11/18/2024,12/13/2024,12/30/2024,USD
09/13/2024,Cash,$0.390625,08/20/2024,09/13/2024,09/30/2024,USD
06/13/2024,Cash,$0.390625,05/21/2024,06/13/2024,07/01/2024,USD
03/13/2024,Cash,$0.390625,02/21/2024,03/14/2024,04/01/2024,USD
12/13/2023,Cash,$0.390625,12/06/2023,12/14/2023,01/02/2024,USD
09/13/2023,Cash,$0.390625,08/14/2023,09/14/2023,09/29/2023,USD
06/14/2023,Cash,$0.390625,05/15/2023,06/15/2023,06/30/2023,USD
03/14/2023,Cash,$0.390625,03/01/2023,03/15/2023,03/30/2023,USD
12/14/2022,Cash,$0.390625,11/14/2022,12/15/2022,12/30/2022,USD
09/14/2022,Cash,$0.390625,08/16/2022,09/15/2022,09/30/2022,USD
06/14/2022,Cash,$0.390625,05/19/2022,06/15/2022,06/30/2022,USD
03/14/2022,Cash,$0.390625,03/02/2022,03/15/2022,03/30/2022,USD
12/14/2021,Cash,$0.390625,N/A,12/15/2021,12/30/2021,USD
09/14/2021,Cash,$0.390625,08/18/2021,09/15/2021,09/30/2021,USD
06/14/2021,Cash,$0.390625,N/A,06/15/2021,06/30/2021,USD
03/12/2021,Cash,$0.390625,N/A,03/15/2021,03/30/2021,USD
12/14/2020,Cash,$0.390625,11/18/2020,12/15/2020,12/30/2020,USD
09/14/2020,Cash,$0.390625,N/A,09/15/2020,09/30/2020,USD
06/12/2020,Cash,$0.390625,05/20/2020,06/15/2020,06/30/2020,USD
03/12/2020,Cash,$0.390625,N/A,03/13/2020,03/30/2020,USD
12/12/2019,Cash,$0.390625,N/A,12/13/2019,12/30/2019,USD
09/12/2019,Cash,$0.390625,09/13/2019,09/13/2019,09/30/2019,USD
06/13/2019,Cash,$0.390625,05/21/2019,06/14/2019,07/01/2019,USD
03/14/2019,Cash,$0.390625,N/A,03/15/2019,04/01/2019,USD
12/13/2018,Cash,$0.390625,N/A,12/14/2018,12/31/2018,USD
09/13/2018,Cash,$0.390625,08/14/2018,09/14/2018,10/01/2018,USD
06/14/2018,Cash,$0.390625,05/22/2018,06/15/2018,07/02/2018,USD
03/14/2018,Cash,$0.390625,02/27/2018,03/15/2018,03/30/2018,USD
12/14/2017,Cash,$0.390625,11/28/2017,12/15/2017,01/02/2018,USD
09/14/2017,Cash,$0.390625,08/22/2017,09/15/2017,10/02/2017,USD
06/13/2017,Cash,$0.390625,05/23/2017,06/15/2017,06/30/2017,USD
03/13/2017,Cash,$0.390625,03/01/2017,03/15/2017,03/30/2017,USD
12/07/2016,Cash,$0.390625,11/15/2016,12/09/2016,12/30/2016,USD
09/07/2016,Cash,$0.390625,08/23/2016,09/09/2016,09/30/2016,USD
06/08/2016,Cash,$0.390625,05/25/2016,06/10/2016,06/30/2016,USD
03/09/2016,Cash,$0.390625,02/23/2016,03/11/2016,03/30/2016,USD
12/09/2015,Cash,$0.390625,11/24/2015,12/11/2015,12/30/2015,USD
09/09/2015,Cash,$0.438368,08/18/2015,09/11/2015,09/30/2015,USD
